Allergy Meridian (for full) 6151113
Connective tissue degenerations meridian (for full) 34920107
Bladder 10121817
Blockade of a meridian (filter) 1031154
Colon Meridian 91435667
Three Warmer Meridian 36132310
Small Intestine Meridian 2496667
Adipose tissue degenerations meridian (for full) 23211215
Gallen Meridian 52157737
Joint degeneration Meridian (for full) 2514861
Skin degenerations meridian (for full) 26106177
Heart Meridian 11147510
Individually weakest Meridian, due to the plant (filter) 76611166
Conception Vessel (Meridian) 1513461
Headache (3 Warmer mermeridian type) 31519818
Headache (bladder meridian type) 12461256
Headache (gallbladder meridian type) 7385121
Headache (stomach meridian type) 35369960
Circulatory sexuality meridian 11761130
Liver Meridian 2525667
Handlebar vessel (Meridian) 12100177
Lung meridian 12818737
Lymph meridian (for full) 25205667
Magen Meridian 1495667
Maximum disturbed Meridian (filter) 1111661
Maximum disturbing Meridian (filter) 32223206
Meridian compensate (filter) 18121121
Meridian strengthening (energiser essences) 11877596
Meridian sedate (filter) 1829777
Meridian tonisieren (Filter) 18311405
Meridian harmonisation, general 18104335
Meridian harmonisation komplette (Rates in Code) 13056687
Meridian Short (filter) 1021617
Spleen Meridian 15231817
Nerve Generation Meridian (for full) 49141130
Kidney Meridian 11818737
Organ meridian degeneration (for full) 31010127
Personal Constitution Meridian (filter) 75211706
Yang level of a meridian (filter) 17361712
Yin level of a meridian (filter) 98111314
MAIN MERIDIAN POINTS  LUNGS 5555376
EXITPOINT  Triple Warmer  Point T 23  66710 76
EXITPOINT  Gall Bladder  Point G 41  777331
EXITPOINT  Liver  Point Liv 14  10 10 8907 
5 ELEMENTS Lungs Earth  Point L 9  556564
5 ELEMENTS LungsFire  Point L 10  556797
5 ELEMENTS LungsMetal  Point L 8  554989
5 ELEMENTS LungsWater  Point L 5  5510451
5 ELEMENTS LungsWood  Point L 11  557971
5 ELEMENTS Heart Earth  Point H 7  3375810
5 ELEMENTS Heart Fire  Point H 8  335644
5 ELEMENTS Heart Metal  Point H 4  336364
5 ELEMENTS Heart Water  Point H 3  337676
5 ELEMENTS Heart Wood  Point H 9  335217
5 ELEMENTS Circulation SexEarth  Point Cx 2  996710 2
5 ELEMENTS Circulation SexFire  Point Cx 8  996835
5 ELEMENTS Circulation SexMetal  Point Cx 5  996554
5 ELEMENTS Circulation SexWater  Point Cx 3  997466
5 ELEMENTS Circulation SexWood  Point Cx 9  995844 
5 ELEMENTS Liver Earth  Point Li 3  10 10 6967
5 ELEMENTS Liver Fire  Point Li 2  10 10 8335
5 ELEMENTS Liver Metal  Point Li 4  10 10 8304
5 ELEMENTS Liver Water  Point Li 8  10 10 0876
5 ELEMENTS Liver Wood  Point Li 1  10 10 4285
5 ELEMENTS Spleen Earth  Point Sp 3  3362010
5 ELEMENTS Spleen Fire  Point Sp 4  557437
5 ELEMENTS Spleen Metal  Point Sp 5  5510064
5 ELEMENTS Spleen Water  Point Sp 6  334347
5 ELEMENTS Spleen Wood  Point Sp 7  669655
5 ELEMENTS Kidney Earth  Point K 5  1110 545
5 ELEMENTS Kidney Fire  Point K 6  113645
5 ELEMENTS Kidney Metal  Point K 7  115610 4
5 ELEMENTS Kidney Water  Point K 8  113746
5 ELEMENTS Kidney Wood  Point K 9  111035
5 ELEMENTS Large Intestine Earth  Point Li 11  8810 676
5 ELEMENTS Large Intestine Fire  Point Li 5  882333
5 ELEMENTS Large Intestine Metal  Point Li 1  884777
5 ELEMENTS Large Intestine Water  Point Li 2  886582
5 ELEMENTS Large Intestine Wood  Point Li 3  884555
5 ELEMENTS Small Intestine Earth  Point Si 8  610 24
5 ELEMENTS Small Intestine Fire  Point Si 5  5476
5 ELEMENTS Small Intestine Metal  Point Si 1  310 67
5 ELEMENTS Small Intestine Water  Point Si 2  57410
5 ELEMENTS Small Intestine Wood  Point Si 3  510 35
5 ELEMENTS Triple WarmerEarth  Point Tw 10  667111
5 ELEMENTS Triple WarmerFire  Point Tw 6  6675710
5 ELEMENTS Triple WarmerMetal  Point Tw 1  6610 779
5 ELEMENTS Triple WarmerWater  Point Tw 2  665862
5 ELEMENTS Triple WarmerWood  Point Tw 3  665902 
5 ELEMENTS Gall BladderEarth  Point G 34  775574
5 ELEMENTS Gall BladderFire  Point G 38  771278
5 ELEMENTS Gall BladderMetal  Point G 4  773438
5 ELEMENTS Gall BladderWater  Point G 43  775525
5 ELEMENTS Gall BladderWood  Point G 41  777331
5 ELEMENTS StomachEarth  Point St 36  226506
5 ELEMENTS StomachFire  Point St 41  22610 32
5 ELEMENTS StomachMetal  Point St 45  2210 846
5 ELEMENTS StomachWater  Point St 4  226499
5 ELEMENTS StomachWood  Point St 43  226044
5 ELEMENTS Bladder Earth  Point Bl 54  443002
5 ELEMENTS Bladder Fire  Point Bl 60  445577
5 ELEMENTS Bladder Metal  Point Bl 67  44389
5 ELEMENTS Bladder Water  Point Bl 6  440068
5 ELEMENTS Bladder Wood  Point Bl 65  445151
T8 three Yang meridians of arm  665804
SPECIALISED POINTS  Cx 5 three Yin meridians of arm  995664
SPECIALISED POINTS  G39 three Yang meridians of leg   776886
SPECIALISED POINTS  Sp 6 three Yin meridians of leg   776202  
SPECIALISED POINTS  B17 Reunion of Yang and Yin  447948
SPECIALISED POINTS  Li 4 Reunion of Yang  88310 82
SPECIALISED POINTS  Gv 13 Reunion of Yang  66663886
SPECIALISED POINTS  Gv 19 Reunion of Yang  66674792
SPECIALISED POINTS  Liv 13 reunion of five Tsang orgns  10 10 5759
SPECIALISED POINTS  Cv 12 reunion of five Fu orgns  22210 6504
SPECIALISED POINTS  Cv 17 reunion of breath energy  222710 407
SPECIALISED POINTS  Cv 15 reunion of vital centres  222410 443
SPECIALISED POINTS  S 36 reunion of energy  226506
SPECIALISED POINTS  S 30 reunion of food   228893 
SPECIALISED POINTS  B 17 diafragm  447948
SPECIALISED POINTS  B 24 upper lumbar region  448788
SPECIALISED POINTS  B 26 lower lumbar region  444333
SPECIALISED POINTS  B 29 sacrum  440048
SPECIALISED POINTS  B 30 anal sphincter  4485510
SPECIALISED POINTS  Independent Associated Points  
SPECIALISED POINTS  Gv 2 renal area  66658874
SPECIALISED POINTS  Si 10 arm  9326
SPECIALISED POINTS  K 16 central abdomen  114969
SPECIALISED POINTS  Li 15 middle shouder  888735
SPECIALISED POINTS  Si 14 outside shoulder  4955
SPECIALISED POINTS  Liv 3 spasm  10 10 6967
SPECIALISED POINTS  Sp 5 Veins, joints  5510 064
SPECIALISED POINTS  S 32 Veins, arteries  225664
SPECIALISED POINTS  G 20 Vago sympathetic  773775
SPECIALISED POINTS  B 10 Vago sympathetic  444343
SPECIALISED POINTS  G34 Muscles   775574
SPECIALISED POINTS  K 2 Slight vago sympathetic  113645
SPECIALISED POINTS  B 38 Augments heamatopoesis  447405
SPECIALISED POINTS  B 17 Blood, diaphragm  447948
SPECIALISED POINTS  B 60 pain, nervousness  445577
SPECIALISED POINTS  K 24 Nervousness, insomnia, cardiac  115310 5
SPECIALISED POINTS  B 54 Nervousness, skin, sciatica  443002
SPECIALISED POINTS  Si 3 Pheumatism of arm, eyes  510 35
SPECIALISED POINTS  Li 4 Ears, catarrhal  88310 82
SPECIALISED POINTS  S 36 Psyco somatic  226506
SPECIALISED POINTS  G 39 Bone marrow, leucocytosis  776886
SPECIALISED POINTS  B 11 Bone marrow, leucocytosis  44510 32
SPECIALISED POINTS  L 9 Arteries and veins  556564
SPECIALISED POINTS  Cx 9 Arteries and veins  995844
SPECIALISED POINTS  Gv 4 Impotence, lumbago  666710 768
SPECIALISED POINTS  Gv 25 Nose, back  66677767
SPECIALISED POINTS  Gv 11 Mania  66635863
SPECIALISED POINTS  Greater Yang Small intestine Bladder K12  117558
SPECIALISED POINTS  Lesser Yang Triple Warmer Gall Bladder S 25  2210 486
SPECIALISED POINTS  Sunlight Yang Lange intestine Stomach S 27  228999
SPECIALISED POINTS  Greater Yin Lung Spleen Liv 13  10 10 5759
SPECIALISED POINTS  Absolute Yin Circulation sex Liver Liv 14  10 10 8907
SPECIALISED POINTS  Lesser Yin Heart Kidney K 16  114969
SPECIALISED POINTS  Lesser Yang K21  116588
SPECIALISED POINTS  Abso lute Yin K19   115306
SPECIALISED POINTS  Lung and Spleen L 1  56610 96
SPECIALISED POINTS  Circulation Sex and Liver Cx1   997769
SPECIALISED POINTS  Small Intestine and Bladder B1   447842
SPECIALISED POINTS  Triple Warmer and Gall Bladder G 1  774510 7
SPECIALISED POINTS  Large Intestine and Stomach Li 20   886604
SPECIALISED POINTS  Stomach Lower meating points  S36  226506
SPECIALISED POINTS  Gall Bladder Lower meating points  G 34  775574
SPECIALISED POINTS  Bladder Lower meating points  B 54  443002 
SPECIALISED POINTS  Large Intestine Lower meating points  S 37  22710 65
SPECIALISED POINTS  Large Intestine Upper meating points  Li 11  8810676
SPECIALISED POINTS  Triple Warmer Lower meating points  B 53  444511
SPECIALISED POINTS  Triple Warmer Upper meating points  T 10  667111
SPECIALISED POINTS  Small Intestine Lower meating points  S 39  22510 87
SPECIALISED POINTS  Small Intestine Upper meating
SPECIALISED POINTS  The Points Window of the Sky  
SPECIALISED POINTS  S9   225652
SPECIALISED POINTS  Li 18   887535
SPECIALISED POINTS  T 16  6610  6 53
SPECIALISED POINTS  B 10  444343
SPECIALISED POINTS  L 3  556381
SPECIALISED POINTS  Cv 22  22286766
SPECIALISED POINTS  GC 15   666103932
SPECIALISED POINTS  Si 16  5525
SPECIALISED POINTS  Si17   5233
SPECIALISED POINTS  Cx1   997769
SPECIALISED POINTS  1  L11  557971
SPECIALISED POINTS  2  L10  556797
SPECIALISED POINTS  3  L9  556564
SPECIALISED POINTS  4  L9  556564
SPECIALISED POINTS  5  L8  554989
SPECIALISED POINTS  6  L5  5510451  
SPECIALISED POINTS  1  Sp 1  669655
SPECIALISED POINTS  2  Sp 2  557437
SPECIALISED POINTS  3  Sp 3  3362010
SPECIALISED POINTS  4  Sp 3  3362010
SPECIALISED POINTS  5  Sp 5  5510064
SPECIALISED POINTS  6  Sp 9  334347
SPECIALISED POINTS  1  H 9  335217
SPECIALISED POINTS  2  H8  335644
SPECIALISED POINTS  3  H7  3375810
SPECIALISED POINTS  4  H7  3375810
SPECIALISED POINTS  5  H4  336364
SPECIALISED POINTS  6  H3  337676 
SPECIALISED POINTS  1  K1  111038
SPECIALISED POINTS  2  K2  113645
SPECIALISED POINTS  3  K5  1110545
SPECIALISED POINTS  4  K5  1110545
SPECIALISED POINTS  5  K7  115610 4
SPECIALISED POINTS  6  K10  113746 
SPECIALISED POINTS  1  Cx9  995844
SPECIALISED POINTS  2  Cx8  996835
SPECIALISED POINTS  3  Cx7  996710 2
SPECIALISED POINTS  4  Cx7  996710 2
SPECIALISED POINTS  5  Cx5  995664
SPECIALISED POINTS  6  Cx3  997466
SPECIALISED POINTS  1  Liv1  10 10 4285
SPECIALISED POINTS  2  Liv2  10 10 8335
SPECIALISED POINTS  3  Liv3  10 10 6967
SPECIALISED POINTS  4  Liv3  10 10 6967
SPECIALISED POINTS  5  Liv4  10 10 8304
SPECIALISED POINTS  6  Liv8  10 10 0876
SPECIALISED POINTS  1  LI1  884777
SPECIALISED POINTS  2  LI2  886582
SPECIALISED POINTS  3  LI3  8845555
SPECIALISED POINTS  4  LI4  88310 82
SPECIALISED POINTS  5  LI5  882333
SPECIALISED POINTS  6  LI 11  8810676
SPECIALISED POINTS  1  S 45  2210 846
SPECIALISED POINTS  2  S 44  226499
SPECIALISED POINTS  3  S 43  226044
SPECIALISED POINTS  4  S 42  22610 10 3
SPECIALISED POINTS  5  S 41  22610 32
SPECIALISED POINTS  6  S 36  226506  
SPECIALISED POINTS  1  Si 1  310 67
SPECIALISED POINTS  2  Si 2  57410
SPECIALISED POINTS  3  Si 3  510 35
SPECIALISED POINTS  4  Si 4  6210 3
SPECIALISED POINTS  5  Si 5  5476
SPECIALISED POINTS  6  Si 8  610 24
SPECIALISED POINTS  1  B 67  247389
SPECIALISED POINTS  2  B 66  440068
SPECIALISED POINTS  3  B 65  445151
SPECIALISED POINTS  4 moet dit niet B 64 zijn?  B 54  445097
SPECIALISED POINTS  5  B 60  445577
SPECIALISED POINTS  6  B 54  443002
SPECIALISED POINTS  Triple Warmer  
SPECIALISED POINTS  1  T 1  6610 779
SPECIALISED POINTS  2  T 2  665862
SPECIALISED POINTS  3  T 3  665902
SPECIALISED POINTS  4  T 4  663364
SPECIALISED POINTS  5  T 5  6675710
SPECIALISED POINTS  6  T 10  667111
SPECIALISED POINTS  1  G 44  773438
SPECIALISED POINTS  2  G 43  775525
SPECIALISED POINTS  3  G 41  777331
SPECIALISED POINTS  4  G 40  775710 5
SPECIALISED POINTS  5  G 38  771278
SPECIALISED POINTS  6  G 34  775574
Internal WATER  7483 
Internal WATER Kidney 366 
Internal WATER Kidney Yin deficiency of Kidneys 3732
Internal WATER Kidney Yang deficiency of Kidneys 7195
Internal WATER Kidney Heat of Kidneys 478
Internal WATER Kidney Fire of Kidneys 753
Internal WATER Kidney Deficiency of Kidneys 757
Internal WATER Bladder 755 
Internal WATER Bladder Bladder disease 836
Internal WATER Bladder Damp heat of Bladder 344
Internal WATER Bladder Deficiency cold of Bladder 364
Internal WATER Bladder heat of Bladder 4334
Internal MINISTER FIRE MINISTER FIRE 3682 
Internal MINISTER FIRE Pericardium 3442 
Internal MINISTER FIRE Pericardium Heat of Pericardium 335
Internal MINISTER FIRE Triple heater 369 
Internal MINISTER FIRE Triple heater Disease of Upper Burning Space 583
Internal MINISTER FIRE Triple heater Disease of Middle Burning Space 938
Internal MINISTER FIRE Triple heater Disease of Lower Burning space 45472
Internal WOOD WOOD 6432 
Internal WOOD Gall Bladder 6333 
Internal WOOD Gall Bladder Fire of Gall Bladder 75
Internal WOOD Gall Bladder Cold Gall Bladder 483
Internal WOOD Gall Bladder Hot GallBladder 3691
Internal WOOD Gall Bladder Deficiency of Gall Bladder 693
Internal WOOD Gall Bladder Excess Gall Bladder  536
Internal WOOD Liver  7682 
Internal WOOD Liver disease of the liver 72582
Internal WOOD Liver Excess of the liver 669
Internal WOOD Liver Deficiency of the liver 3586
Internal WOOD Liver Wind of the liver 7764
Internal WOOD Liver Fire of the liver 632
Internal WOOD Liver Cold liver 363
Internal WOOD Liver Hot liver  6372
Internal WOOD Liver Cold and damp liver 3653
Internal WOOD Liver Fire of Liver attacking Lungs 7348
Internal METAL METAL 6353 
Internal METAL Lungs 634 
Internal METAL Lungs Disease of Lungs 453839
Internal METAL Lungs Dampness of Lungs 748
Internal METAL Lungs Dryness of Lungs 783
Internal METAL Lungs Fire of Lungs  632
Internal METAL Lungs Yin deficiency of Lungs 433
Internal METAL Lungs Cold Lungs 437
Internal METAL Lungs Hot Lungs 363
Internal METAL Lungs Heat congestion of Lungs 362
Internal METAL Lungs Excess of Lungs 374
Internal METAL Lungs Qi congestion of Lungs 446
Internal METAL Lungs Sputum of Lungs 638
Internal METAL Large intestine 537 
Internal METAL Large intestine Disease of Large Intestine 5793
Internal METAL Large intestine Cold Large Intestine  463
Internal METAL Large intestine Dampness of Large intestine 3643
Internal METAL Large intestine Damp heat of Large Intestine 379
Internal METAL Large intestine Dryness of Large Intestine 479
Internal METAL Large intestine Hot Large Intestine 4776
Internal METAL Large intestine Deficiency of Large Intestine 4369
Internal METAL Large intestine Excess of Large Intestine 367
Internal EARTH EARTH 3358 
Internal EARTH Stomach 3542 
Internal EARTH Stomach Stomach Disease 2384
Internal EARTH Stomach Cold Stomach 2366
Internal EARTH Stomach Dampness of Stomach 478
Internal EARTH Stomach Fire of Stomach 4733
Internal EARTH Stomach Hot Stomach 3634
Internal EARTH Stomach Yin deficiency of Stomach 3842
Internal EARTH Spleen 8357 
Internal EARTH Spleen Spleen disease 638
Internal EARTH Spleen Cold Spleen 636
Internal EARTH Spleen Dampness of Spleen 8327
Internal EARTH Spleen Fire of Spleen 824
Internal EARTH Spleen Yin Deficiency of Spleen 724
Internal EARTH Spleen Yang deficiency of Spleen 3352
Internal EARTH Spleen Hot Spleen 265
Internal EARTH Spleen Deficiency of Spleen 335
Internal EARTH Spleen Excess of Spleen 223
Internal EARTH Spleen Sputum of Spleen 433
Internal FIRE PRINCE FIRE, Prince 737 
Internal FIRE PRINCE Heart 472 
Internal FIRE PRINCE Heart Cold Heart 3342
Internal FIRE PRINCE Heart Hot Heart 3332
Internal FIRE PRINCE Heart Deficiency of Heart 822
Internal FIRE PRINCE Heart Blood deficiency of Heart 3453
Internal FIRE PRINCE Heart Excess of Heart 342
Internal FIRE PRINCE Heart Sputum of Heart 535
Internal FIRE PRINCE Small Intestine 5 3 4 3 
Internal FIRE PRINCE Small Intestine Deficiency Cold of Small Intestine 483
Internal FIRE PRINCE Small Intestine Excess Heat of Small Intestine 2832
External FIRE PRINCE External  4748 
External FIRE PRINCE External Wind 538 
External FIRE PRINCE External Damp 834
External FIRE PRINCE External Summer Heat 839
External FIRE PRINCE External Fire 64
External FIRE PRINCE External Cold 485
External FIRE PRINCE External Dryness 428
External FIRE PRINCE Chi 583 
External FIRE PRINCE  Chi congestion 785
External FIRE PRINCE  Chi Deficiency 634
External FIRE PRINCE  Chi Disorder 326
External FIRE PRINCE  Chi excess 126
External FIRE PRINCE Blood 135 Put this number first, 
External FIRE PRINCE Blood Cold 369
External FIRE PRINCE Blood Congestion 362
External FIRE PRINCE Blood Deficiency 57
External FIRE PRINCE Blood Excess 367
External FIRE PRINCE Blood Hot 52
External FIRE PRINCE Blood Sputum 732
External FIRE PRINCE Blood Dryness 215
External FIRE PRINCE Sputum 5342 add others to end of this 
External FIRE PRINCE Sputum Cold 362
External FIRE PRINCE Sputum Damp 863
External FIRE PRINCE Sputum Dry 536
External FIRE PRINCE Sputum Heat 836
External FIRE PRINCE Sputum Fire 535
External FIRE PRINCE Sputum Internal (TanYin) 362
BLADDER  5 8 9 10 10  22 34 36 43 44  9 1 6 6 9 4
CHONG MO  1 3 5 6 8  0112 21 25 32  6 4 3 6 5 6
MERIDIAN' CIRCULATION SEX  5 8 9 10 10  22 34 40 43 44  9 1 5 6 9 3
DAI MO  1 1 3 6 6  01 02 1324 26  7 5 9 5 1 9
GALLBLADDER  5 8 8 10 10  22 34 34 43 44  9 1 6 6 9 4
GOVERNING VESSEL  5 8 9 10 10  22 34 37 43 44  9 1 6 6 9 4
HEART  5 8 10 10 10  22 34 41 43 44  9 1 1 6 9 8
KIDNEY  5 8 10 10 10  22 34 42 43 44  9 1 9 6 9 7
LARGE INTESTINE  5 8 9 10 10  22 34 38 43 44  9 1 1 6 9 8
LIVER  5 8 9 10 10  22 34 37 43 44  9 1 6 9 8
LUNG  5 8 9 10 10  22 34 39 43 44  9 1 8 6 9 6
SMALL INTESTINE  5 8 10 10 10  22 34 41 43 44  9 1 4 6 9 2
SPLEEN  5 8 9 10 10  22 34 40 43 44  9 1 9 6 9 7
STOMACH  5 8 9 10 10  22 34 35 43 44  9 1 7 6 9 5
TRIPLE WARMER  5 8 8 10 10 1  22 34 35 43 44  9 1 2 5 9 9
VESSEL OF CONCEPTION  5 8 8 10 10 1  22 34 35 43 44  9 1 4 6 9 2
YANG CHIAO  9 1 0  39 41  8 7 6
YANG HEEL  1 2 2 2 2  03 06 08 08 09  4 6 7 1 9 9
YANG WEI  9 10  37 41  5 6 2
YANG WEI MO  1 2 2 2 2  03 07 08 09 09  4 7 9 3 6 2
YIN CHAO  9 10  38 41  5 5 1
YIN DUI MO  1 2 2 3 3  02 06 08 10 13  5 7 8 1 5 8
YIN WEI  9 9  37 39  6 7 4
YIN WEI MO  1 1 1 2 2  02 03 04 07 08  4 8 6 7 8 6
